year,name,english_name,length,genres,release_date,location,nation,director,company,link,awards,nominations,mid,rating,total_box_office,main_actors
2011,喜羊羊与灰太狼之兔年顶呱呱,Moon Castle: The Space Adventure,88分钟,动画 冒险 喜剧,2011年1月21日,中国上映 - 2D,中国,赵崇邦,中国电影集团公司,http://movie.mtime.com/139725/,0,0,139725,6,1.45亿,祖丽晴 ; Liqing Zu ; 张琳 ; Lin Zhang ; 邓玉婷 ; Yuting Deng ; 梁颖 ; Ying Liang
2011,隐婚男女,Mr. & Mrs. Single,,剧情,2011年4月8日,中国上映 - 2D,中国,叶念琛,华夏电影发行有限责任公司,http://movie.mtime.com/138700/,0,0,138700,6.7,1440.0万,刘若英 ; Rene Liu ; 陈奕迅 ; Eason Chan ; 白冰 ; Ice ; 庾澄庆 ; Harlem Yu
2011,人狼大战,The Grey,117分钟,动作 冒险 剧情,2012年5月18日,中国上映,美国,乔·卡纳汉,华夏电影发行有限责任公司,http://movie.mtime.com/144301/,0,0,144301,7,3800.0万,连姆·尼森 ; Liam Neeson ; 达拉斯·罗伯特斯 ; Dallas Roberts ; 弗兰克·格里罗 ; Frank Grillo ; 德蒙特·莫罗尼 ; Dermot Mulro..
2011,转山,One Mile Above,89分钟,剧情 冒险,2011年11月3日,中国上映 - 2D,中国,杜家毅,北京太合环球影业投资有限公司,http://movie.mtime.com/142950/,0,0,142950,7.8,485.0万,张书豪 ; Bryan Chang ; 李桃 ; Tao Li ; 李晓川 ; Xiaochuan Li ; 张少怀 ; Shao-Huai Ch..
2011,胡佛,J. Edgar,,传记 剧情,2011年11月11日,美国上映,美国,克林特·伊斯特伍德,华纳兄弟影片公司,http://movie.mtime.com/131188/,0,0,131188,7.8,-,莱昂纳多·迪卡普里奥 ; 艾米·汉莫 ; Armie Hammer ; 娜奥米·沃茨 ; Naomi Watts ; 朱迪·丹奇 ; Judi Dench
2011,李献计历险记,Lee's Adventures,90分钟,爱情 动画 奇幻,2011年10月1日,中国上映 - 2D,中国,郭帆,深圳大盛国际传媒有限公司,http://movie.mtime.com/136204/,0,0,136204,6.7,850.0万,房祖名 ; Jaycee Chan ; 王子文 ; Olivia Wang ; 姜武 ; Wu Jiang ; 姚橹 ; Lu Yao
2011,我爱HK开心万岁,I Love Hong Kong,,剧情 喜剧,2011年1月31日,中国上映 - 2D,中国香港,钟澍佳,邵氏兄弟(香港)有限公司,http://movie.mtime.com/138240/,0,0,138240,6.9,3050.0万,曾志伟 ; Eric Tsang ; 梁家辉 ; Tony Leung ; 李思捷 ; Johnson Lee ; 吴君如 ; Sandra Ng
2011,幸福额度,Love on Credit,95分钟,剧情 喜剧 爱情,2011年10月20日,中国上映 - 2D,中国,陈正道,北京小马奔腾影业有限公司,http://movie.mtime.com/148028/,0,0,148028,6.6,3450.0万,林志玲 ; Chiling Lin ; 廖凡 ; Fan Liao ; 陈坤 ; Kun Chen ; 杨祐宁 ; Tony Yang
2011,野兽男孩,Beastly,,爱情 奇幻 剧情,2011年3月4日,美国上映,美国,丹尼尔·巴尔兹,CBS Films,http://movie.mtime.com/104911/,0,0,104911,7,-,亚历克斯·帕蒂弗 ; Alex Pettyfer ; 瓦妮莎·哈金斯 ; Vanessa Hudg.. ; Justin Bradley ; 达科塔·约翰逊 ; Dakota Johnson
2011,肩上蝶,Rest On Your Shoulder,122分钟,爱情 奇幻 剧情,2011年7月8日,中国上映 - 2D,中国,张之亮,北京盛世新影影视发行有限公司,http://movie.mtime.com/119277/,0,0,119277,5.8,1300.0万,陈坤 ; Kun Chen ; 梁咏琪 ; Gigi Leung ; 桂纶镁 ; Lun-mei Guey ; 江一燕 ; Yiyan Jiang
2011,巨额交易,A Big Deal,,爱情 冒险 喜剧,2011年12月2日,中国上映 - 2D,中国,马俪文,乐视影业（北京）有限公司,http://movie.mtime.com/138992/,0,0,138992,5.8,958.0万,蓝正龙 ; Ching-Lung Lan ; 韩彩英 ; Chae-young Han ; 杜汶泽 ; Chapman To ; 乔任梁 ; Kimi
2011,牛仔和外星人,Cowboys & Aliens,118分钟,动作 科幻 惊悚,2011年7月29日,美国上映,美国,乔恩·费儒,Paramount Pictures,http://movie.mtime.com/82986/,0,0,82986,6.8,-,丹尼尔·克雷格 ; Daniel Craig ; 奥利维亚·王尔德 ; Olivia Wilde ; 哈里森·福特 ; Harrison Ford ; 阿比盖尔·斯宾赛 ; Abigail Spen..
2011,波普先生的企鹅,Mr. Popper's Penguins,,喜剧 家庭,2011年6月17日,美国上映,美国,马克·沃特斯,二十世纪福斯电影公司,http://movie.mtime.com/127240/,0,0,127240,7.8,-,金·凯瑞 ; Jim Carrey ; 卡拉·古奇诺 ; Carla Gugino ; 安吉拉·兰斯伯瑞 ; Angela Lansb.. ; 奥菲利亚·拉维邦德 ; Ophelia Lovi..
